epoch,lr,val_loss,val_ec_acc,val_ec_balanced_acc,val_ec_group_acc,val_ec_group_balanced_acc,val_ec_group_confusion_matrix,val_ec_group_level_1_acc,val_ec_group_level_1_balanced_acc,val_ec_group_level_1_macro_f1,val_ec_group_macro_f1,val_ec_group_min_recall,val_ec_group_n_conflicting_groups,val_ec_group_n_groups,val_ec_group_per_class_recall,val_ec_group_per_class_support,val_ec_level_1_acc,val_ec_level_1_balanced_acc,val_ec_level_1_macro_f1,val_ec_macro_f1,val_ec_per_class_recall,val_ec_per_class_support,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc
1,0.0001,0.4637563015249642,0.4514285624027252,0.3635642135642136,0.4523809552192688,0.3619047619047619,"[[8, 0, 0, 0, 0, 0, 0], [1, 5, 0, 0, 0, 0, 0], [13, 0, 4, 3, 0, 0, 0], [2, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.4523809552192688,0.3619047619047619,0.29463203463203463,0.29463203463203463,0.0,0,42,"{'1': 1.0, '2': 0.8333333333333334, '3': 0.2, '4': 0.5, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.4514285624027252,0.3635642135642136,0.2790673269773675,0.2790673269773675,"{'1': 0.9722222222222222, '2': 0.7727272727272727, '3': 0.2, '4': 0.6, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.3635642135642136,0.2790673269773675,
2,0.0001,0.4301954684779048,0.5428571701049805,0.34682539682539687,0.5476190447807312,0.3392857142857143,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 9, 10, 0, 0, 0, 0], [1, 0, 3, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.5476190447807312,0.3392857142857143,0.271546299679292,0.271546299679292,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.5, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.5428571701049805,0.34682539682539687,0.3002815451881666,0.3002815451881666,"{'1': 0.75, '2': 1.0, '3': 0.4777777777777778, '4': 0.2, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.34682539682539687,0.3002815451881666,
3,0.0001,0.4172688149635426,0.7257142663002014,0.4857142857142857,0.8095238208770752,0.5107142857142858,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 1, 19, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0]]",0.8095238208770752,0.5107142857142858,0.5233766233766234,0.5233766233766234,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.95, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7257142663002014,0.4857142857142857,0.46964285714285714,0.46964285714285714,"{'1': 0.8333333333333334, '2': 1.0, '3': 0.7666666666666667, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.4857142857142857,0.46964285714285714,
4,0.0001,0.37418557943204755,0.7542856931686401,0.569047619047619,0.8095238208770752,0.5107142857142858,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 1, 19, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0]]",0.8095238208770752,0.5107142857142858,0.5233766233766234,0.5233766233766234,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.95, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7542856931686401,0.569047619047619,0.5933086791877822,0.5933086791877822,"{'1': 0.8055555555555556, '2': 1.0, '3': 0.8111111111111111, '4': 0.26666666666666666, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.569047619047619,0.5933086791877822,
5,0.0001,0.30690001157927327,0.7485714554786682,0.5396825396825397,0.761904776096344,0.5428571428571428,"[[6, 1, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 1, 16, 2, 0, 1, 0], [0, 0, 0, 3, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.761904776096344,0.5428571428571428,0.49600110314396023,0.49600110314396023,0.0,0,42,"{'1': 0.75, '2': 1.0, '3': 0.8, '4': 0.75, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7485714554786682,0.5396825396825397,0.48404682199054827,0.48404682199054827,"{'1': 0.8333333333333334, '2': 1.0, '3': 0.7444444444444445, '4': 0.6, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5396825396825397,0.48404682199054827,
6,0.0001,0.3126545627998315,0.8057143092155457,0.5702020202020203,0.8571428656578064,0.6607142857142857,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 20, 0, 0, 0, 0], [0, 1, 2, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]",0.8571428656578064,0.6607142857142857,0.6808905380333952,0.6808905380333952,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 1.0, '4': 0.25, '5': 0.0, '6': 0.5, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.8057143092155457,0.5702020202020203,0.6063049549069001,0.6063049549069001,"{'1': 0.9166666666666666, '2': 0.8636363636363636, '3': 0.9111111111111111, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5702020202020203,0.6063049549069001,
7,0.0001,0.2470486228935029,0.822857141494751,0.6825396825396826,0.9047619104385376,0.8250000000000001,"[[7, 0, 0, 1, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 18, 2, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]]",0.9047619104385376,0.8250000000000001,0.7924812030075188,0.7924812030075188,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.9, '4': 1.0, '5': 0.0, '6': 1.0, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.822857141494751,0.6825396825396826,0.6686182931525118,0.6686182931525118,"{'1': 0.8888888888888888, '2': 1.0, '3': 0.7888888888888889, '4': 1.0, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.6825396825396826,0.6686182931525118,
8,0.0001,0.24857184933650636,0.8399999737739563,0.6450937950937952,0.9285714030265808,0.75,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 20, 0, 0, 0, 0], [0, 0, 1, 3, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]",0.9285714030265808,0.75,0.7662389533674633,0.7662389533674633,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 1.0, '4': 0.75, '5': 0.0, '6': 0.5, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.8399999737739563,0.6450937950937952,0.6712585034013605,0.6712585034013605,"{'1': 0.9166666666666666, '2': 0.9545454545454546, '3': 0.8777777777777778, '4': 0.6666666666666666, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.6450937950937952,0.6712585034013605,
9,0.0001,0.28677005760685215,0.8057143092155457,0.5979797979797981,0.9285714030265808,0.8035714285714286,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 20, 0, 0, 0, 0], [0, 0, 1, 3, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]]",0.9285714030265808,0.8035714285714286,0.8172441069451036,0.8172441069451036,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 1.0, '4': 0.75, '5': 0.0, '6': 1.0, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.8057143092155457,0.5979797979797981,0.640814190616117,0.640814190616117,"{'1': 0.7777777777777778, '2': 0.8636363636363636, '3': 0.9111111111111111, '4': 0.5333333333333333, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5979797979797981,0.640814190616117,
10,0.0001,0.30398047971274617,0.8514285683631897,0.7515873015873016,0.9285714030265808,0.8928571428571429,"[[6, 1, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 20, 0, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]",0.9285714030265808,0.8928571428571429,0.9080803052928488,0.9080803052928488,0.5,0,42,"{'1': 0.75, '2': 1.0, '3': 1.0, '4': 1.0, '5': 1.0, '6': 0.5, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.8514285683631897,0.7515873015873016,0.7749246628475951,0.7749246628475951,"{'1': 0.75, '2': 1.0, '3': 0.8777777777777778, '4': 0.9333333333333333, '5': 0.6, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.7515873015873016,0.7749246628475951,
