epoch,lr,val_loss,val_ec_acc,val_ec_balanced_acc,val_ec_group_acc,val_ec_group_balanced_acc,val_ec_group_confusion_matrix,val_ec_group_level_1_acc,val_ec_group_level_1_balanced_acc,val_ec_group_level_1_macro_f1,val_ec_group_macro_f1,val_ec_group_min_recall,val_ec_group_n_conflicting_groups,val_ec_group_n_groups,val_ec_group_per_class_recall,val_ec_group_per_class_support,val_ec_level_1_acc,val_ec_level_1_balanced_acc,val_ec_level_1_macro_f1,val_ec_macro_f1,val_ec_per_class_recall,val_ec_per_class_support,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc
1,3e-05,0.46461442536251113,0.33714285492897034,0.18845598845598846,0.4285714328289032,0.2261904761904762,"[[6, 0, 2, 0, 0, 0, 0], [4, 2, 0, 0, 0, 0, 0], [9, 0, 10, 1, 0, 0, 0], [1, 0, 3, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.4285714328289032,0.2261904761904762,0.20591313448456305,0.20591313448456305,0.0,0,42,"{'1': 0.75, '2': 0.3333333333333333, '3': 0.5, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.33714285492897034,0.18845598845598846,0.18995447331279416,0.18995447331279416,"{'1': 0.2777777777777778, '2': 0.36363636363636365, '3': 0.4111111111111111, '4': 0.26666666666666666, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.18845598845598846,0.18995447331279416,
2,3e-05,0.45919777994806116,0.47428572177886963,0.2913419913419913,0.5,0.3190476190476191,"[[8, 0, 0, 0, 0, 0, 0], [1, 5, 0, 0, 0, 0, 0], [7, 5, 8, 0, 0, 0, 0], [1, 0, 3, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.5,0.3190476190476191,0.24268907563025208,0.24268907563025208,0.0,0,42,"{'1': 1.0, '2': 0.8333333333333334, '3': 0.4, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.47428572177886963,0.2913419913419913,0.22793971229443472,0.22793971229443472,"{'1': 0.8888888888888888, '2': 0.7727272727272727, '3': 0.37777777777777777, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.2913419913419913,0.22793971229443472,
3,3e-05,0.4336990239945325,0.5314285755157471,0.3095959595959596,0.5476190447807312,0.33333333333333337,"[[8, 0, 0, 0, 0, 0, 0], [1, 5, 0, 0, 0, 0, 0], [6, 4, 10, 0, 0, 0, 0], [1, 0, 3, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",0.5476190447807312,0.33333333333333337,0.2638888888888889,0.2638888888888889,0.0,0,42,"{'1': 1.0, '2': 0.8333333333333334, '3': 0.5, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.5314285755157471,0.3095959595959596,0.2499507445777989,0.2499507445777989,"{'1': 0.9166666666666666, '2': 0.7727272727272727, '3': 0.4777777777777778, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.3095959595959596,0.2499507445777989,
4,3e-05,0.4051651605828242,0.645714282989502,0.374963924963925,0.738095223903656,0.43571428571428567,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [2, 2, 16, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.738095223903656,0.43571428571428567,0.41288825607762486,0.41288825607762486,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.8, '4': 0.25, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.645714282989502,0.374963924963925,0.34234076609367153,0.34234076609367153,"{'1': 0.9166666666666666, '2': 0.8636363636363636, '3': 0.6444444444444445, '4': 0.2, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.374963924963925,0.34234076609367153,
5,3e-05,0.38160049237988214,0.6571428775787354,0.5095238095238096,0.761904776096344,0.5071428571428571,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 3, 16, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0]]",0.761904776096344,0.5071428571428571,0.5019607843137255,0.5019607843137255,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.8, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.6571428775787354,0.5095238095238096,0.5157303154309142,0.5157303154309142,"{'1': 0.8333333333333334, '2': 1.0, '3': 0.6333333333333333, '4': 0.2, '5': 0.0, '6': 0.4, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5095238095238096,0.5157303154309142,
6,3e-05,0.34506472513418307,0.6742857098579407,0.5458874458874459,0.8333333134651184,0.5928571428571429,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 1, 18, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1, 0]]",0.8333333134651184,0.5928571428571429,0.5601994644011451,0.5601994644011451,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.9, '4': 0.25, '5': 0.0, '6': 1.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.6742857098579407,0.5458874458874459,0.5350390043855049,0.5350390043855049,"{'1': 0.9444444444444444, '2': 0.9545454545454546, '3': 0.6222222222222222, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5458874458874459,0.5350390043855049,
7,3e-05,0.3406329129568555,0.7085714340209961,0.4984126984126984,0.8095238208770752,0.5214285714285715,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 1, 18, 1, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.8095238208770752,0.5214285714285715,0.5068027210884354,0.5068027210884354,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.9, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7085714340209961,0.4984126984126984,0.4594236285802551,0.4594236285802551,"{'1': 0.9444444444444444, '2': 1.0, '3': 0.6777777777777778, '4': 0.26666666666666666, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.4984126984126984,0.4594236285802551,
8,3e-05,0.3444568044929342,0.7428571581840515,0.5611111111111111,0.8095238208770752,0.5214285714285715,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 1, 18, 1, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0]]",0.8095238208770752,0.5214285714285715,0.5224489795918367,0.5224489795918367,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.9, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7428571581840515,0.5611111111111111,0.5876001878306026,0.5876001878306026,"{'1': 0.75, '2': 1.0, '3': 0.8111111111111111, '4': 0.26666666666666666, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5611111111111111,0.5876001878306026,
9,3e-05,0.313237032556737,0.7599999904632568,0.5825396825396825,0.8095238208770752,0.5214285714285715,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [1, 1, 18, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.8095238208770752,0.5214285714285715,0.5079231692677071,0.5079231692677071,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.9, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7599999904632568,0.5825396825396825,0.5858279651383099,0.5858279651383099,"{'1': 0.9444444444444444, '2': 1.0, '3': 0.7666666666666667, '4': 0.26666666666666666, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5825396825396825,0.5858279651383099,
10,3e-05,0.299999699853784,0.7657142877578735,0.6,0.8095238208770752,0.5214285714285715,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 1, 18, 1, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.8095238208770752,0.5214285714285715,0.5068027210884354,0.5068027210884354,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.9, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7657142877578735,0.6,0.6119783427832963,0.6119783427832963,"{'1': 0.9444444444444444, '2': 1.0, '3': 0.7555555555555555, '4': 0.4, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.6,0.6119783427832963,
