epoch,lr,val_loss,val_ec_acc,val_ec_balanced_acc,val_ec_group_acc,val_ec_group_balanced_acc,val_ec_group_confusion_matrix,val_ec_group_level_1_acc,val_ec_group_level_1_balanced_acc,val_ec_group_level_1_macro_f1,val_ec_group_macro_f1,val_ec_group_min_recall,val_ec_group_n_conflicting_groups,val_ec_group_n_groups,val_ec_group_per_class_recall,val_ec_group_per_class_support,val_ec_level_1_acc,val_ec_level_1_balanced_acc,val_ec_level_1_macro_f1,val_ec_macro_f1,val_ec_per_class_recall,val_ec_per_class_support,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc
1,0.0001,0.43726474859497766,0.5485714077949524,0.33145743145743145,0.6190476417541504,0.37857142857142856,"[[6, 0, 2, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [3, 4, 13, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.6190476417541504,0.37857142857142856,0.3535614245698279,0.3535614245698279,0.0,0,42,"{'1': 0.75, '2': 1.0, '3': 0.65, '4': 0.25, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.5485714077949524,0.33145743145743145,0.2938095238095238,0.2938095238095238,"{'1': 0.6666666666666666, '2': 0.9090909090909091, '3': 0.5444444444444444, '4': 0.2, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.33145743145743145,0.2938095238095238,
2,0.0001,0.3790156311270865,0.6228571534156799,0.4642857142857143,0.6666666865348816,0.4785714285714286,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [2, 6, 12, 0, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0]]",0.6666666865348816,0.4785714285714286,0.46031746031746035,0.46031746031746035,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.6, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.6228571534156799,0.4642857142857143,0.4356644216368829,0.4356644216368829,"{'1': 0.9166666666666666, '2': 1.0, '3': 0.5333333333333333, '4': 0.2, '5': 0.0, '6': 0.6, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.4642857142857143,0.4356644216368829,
3,0.0001,0.316192032748156,0.7885714173316956,0.5984126984126984,0.8095238208770752,0.5214285714285715,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 1, 18, 1, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0]]",0.8095238208770752,0.5214285714285715,0.5068027210884354,0.5068027210884354,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.9, '4': 0.25, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7885714173316956,0.5984126984126984,0.6203156394352696,0.6203156394352696,"{'1': 0.9444444444444444, '2': 1.0, '3': 0.8111111111111111, '4': 0.3333333333333333, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5984126984126984,0.6203156394352696,
4,0.0001,0.3087084307070737,0.7885714173316956,0.5766955266955266,0.8571428656578064,0.725,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 19, 1, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]]",0.8571428656578064,0.725,0.7329004329004328,0.7329004329004328,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.95, '4': 0.25, '5': 0.0, '6': 1.0, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7885714173316956,0.5766955266955266,0.6183105418856715,0.6183105418856715,"{'1': 0.8055555555555556, '2': 0.9090909090909091, '3': 0.8888888888888888, '4': 0.3333333333333333, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5766955266955266,0.6183105418856715,
5,0.0001,0.3215544934289276,0.8171428442001343,0.6373015873015874,0.8571428656578064,0.5821428571428572,"[[7, 0, 1, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 19, 1, 0, 0, 0], [0, 0, 1, 3, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0]]",0.8571428656578064,0.5821428571428572,0.5874149659863945,0.5874149659863945,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.95, '4': 0.75, '5': 0.0, '6': 0.5, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.8171428442001343,0.6373015873015874,0.6570101628994038,0.6570101628994038,"{'1': 0.75, '2': 1.0, '3': 0.8777777777777778, '4': 0.7333333333333333, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.6373015873015874,0.6570101628994038,
6,0.0001,0.22128798383346293,0.7771428823471069,0.5948051948051949,0.8571428656578064,0.7428571428571429,"[[6, 1, 0, 1, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 19, 1, 0, 0, 0], [0, 0, 1, 2, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]]",0.8571428656578064,0.7428571428571429,0.7152927212160661,0.7152927212160661,0.0,0,42,"{'1': 0.75, '2': 1.0, '3': 0.95, '4': 0.5, '5': 0.0, '6': 1.0, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7771428823471069,0.5948051948051949,0.5951310401310401,0.5951310401310401,"{'1': 0.8333333333333334, '2': 0.8636363636363636, '3': 0.8333333333333334, '4': 0.5333333333333333, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.5948051948051949,0.5951310401310401,
7,0.0001,0.286676330028885,0.7885714173316956,0.6222222222222221,0.8333333134651184,0.6821428571428572,"[[7, 1, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 1, 18, 1, 0, 0, 0], [0, 0, 1, 2, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]]",0.8333333134651184,0.6821428571428572,0.6908817373103088,0.6908817373103088,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.9, '4': 0.5, '5': 0.0, '6': 0.5, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.7885714173316956,0.6222222222222221,0.6283354206046086,0.6283354206046086,"{'1': 0.9444444444444444, '2': 1.0, '3': 0.7777777777777778, '4': 0.5333333333333333, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.6222222222222221,0.6283354206046086,
8,0.0001,0.2712299309469844,0.845714271068573,0.6228715728715729,0.8809523582458496,0.7321428571428571,"[[7, 1, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 20, 0, 0, 0, 0], [0, 0, 2, 1, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]]",0.8809523582458496,0.7321428571428571,0.740948973507113,0.740948973507113,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 1.0, '4': 0.25, '5': 0.0, '6': 1.0, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.845714271068573,0.6228715728715729,0.6624990536755242,0.6624990536755242,"{'1': 0.9166666666666666, '2': 0.9545454545454546, '3': 0.9222222222222223, '4': 0.4666666666666667, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.6228715728715729,0.6624990536755242,
9,0.0001,0.20357222324921828,0.868571400642395,0.7031746031746032,0.9285714030265808,0.8142857142857143,"[[8, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 19, 1, 0, 0, 0], [0, 0, 1, 3, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]]",0.9285714030265808,0.8142857142857143,0.8109756097560975,0.8109756097560975,0.0,0,42,"{'1': 1.0, '2': 1.0, '3': 0.95, '4': 0.75, '5': 0.0, '6': 1.0, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.868571400642395,0.7031746031746032,0.7111177804455115,0.7111177804455115,"{'1': 0.9444444444444444, '2': 1.0, '3': 0.8777777777777778, '4': 0.8, '5': 0.0, '6': 0.8, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.7031746031746032,0.7111177804455115,
10,0.0001,0.2714041505461699,0.8571428656578064,0.668903318903319,0.9285714030265808,0.8321428571428572,"[[7, 1, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 0, 19, 1, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]]",0.9285714030265808,0.8321428571428572,0.8087606837606838,0.8087606837606838,0.0,0,42,"{'1': 0.875, '2': 1.0, '3': 0.95, '4': 1.0, '5': 0.0, '6': 1.0, '7': 1.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.8571428656578064,0.668903318903319,0.6813276319245009,0.6813276319245009,"{'1': 0.8611111111111112, '2': 0.9545454545454546, '3': 0.9, '4': 0.8666666666666667, '5': 0.0, '6': 0.6, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.668903318903319,0.6813276319245009,
