epoch,lr,val_loss,val_ec_acc,val_ec_balanced_acc,val_ec_group_acc,val_ec_group_balanced_acc,val_ec_group_confusion_matrix,val_ec_group_level_1_acc,val_ec_group_level_1_balanced_acc,val_ec_group_level_1_macro_f1,val_ec_group_macro_f1,val_ec_group_min_recall,val_ec_group_n_conflicting_groups,val_ec_group_n_groups,val_ec_group_per_class_recall,val_ec_group_per_class_support,val_ec_level_1_acc,val_ec_level_1_balanced_acc,val_ec_level_1_macro_f1,val_ec_macro_f1,val_ec_per_class_recall,val_ec_per_class_support,val_joint_balanced_acc,val_joint_macro_f1,val_metal_acc
1,0.0001,0.49426727860488673,0.2514285743236542,0.20144300144300145,0.261904776096344,0.23214285714285715,"[[5, 3, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [7, 13, 0, 0, 0, 0, 0], [1, 3, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",0.261904776096344,0.23214285714285715,0.11700680272108843,0.11700680272108843,0.0,0,42,"{'1': 0.625, '2': 1.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.2514285743236542,0.20144300144300145,0.11614902952331375,0.11614902952331375,"{'1': 0.3333333333333333, '2': 0.9545454545454546, '3': 0.12222222222222222, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.20144300144300145,0.11614902952331375,
2,0.0001,0.49073495834388514,0.3028571307659149,0.19105339105339106,0.2857142984867096,0.13095238095238096,"[[0, 0, 7, 1, 0, 0, 0], [0, 1, 2, 3, 0, 0, 0], [0, 0, 10, 10, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.2857142984867096,0.13095238095238096,0.11493506493506493,0.11493506493506493,0.0,0,42,"{'1': 0.0, '2': 0.16666666666666666, '3': 0.5, '4': 0.25, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.3028571307659149,0.19105339105339106,0.1360893325109686,0.1360893325109686,"{'1': 0.0, '2': 0.18181818181818182, '3': 0.4222222222222222, '4': 0.7333333333333333, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.19105339105339106,0.1360893325109686,
3,0.0001,0.49270949698984623,0.4000000059604645,0.23751803751803752,0.3571428656578064,0.2285714285714286,"[[2, 0, 6, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [10, 3, 7, 0, 0, 0, 0], [1, 2, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.3571428656578064,0.2285714285714286,0.17299200381907148,0.17299200381907148,0.0,0,42,"{'1': 0.25, '2': 1.0, '3': 0.35, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.4000000059604645,0.23751803751803752,0.18144381337282414,0.18144381337282414,"{'1': 0.4444444444444444, '2': 0.8181818181818182, '3': 0.4, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.23751803751803752,0.18144381337282414,
4,0.0001,0.5129522784528407,0.20571428537368774,0.20707070707070704,0.3095238208770752,0.3071428571428571,"[[0, 0, 1, 7, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 1, 3, 16, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.3095238208770752,0.3071428571428571,0.1842857142857143,0.1842857142857143,0.0,0,42,"{'1': 0.0, '2': 1.0, '3': 0.15, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.20571428537368774,0.20707070707070704,0.12056187768070502,0.12056187768070502,"{'1': 0.0, '2': 0.7272727272727273, '3': 0.12222222222222222, '4': 0.6, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.20707070707070704,0.12056187768070502,
5,0.0001,0.5105712943795052,0.20000000298023224,0.1914862914862915,0.3095238208770752,0.22142857142857145,"[[0, 0, 5, 3, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [0, 3, 6, 11, 0, 0, 0], [0, 2, 1, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.3095238208770752,0.22142857142857145,0.15568332596196371,0.15568332596196371,0.0,0,42,"{'1': 0.0, '2': 1.0, '3': 0.3, '4': 0.25, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.20000000298023224,0.1914862914862915,0.11111111111111109,0.11111111111111109,"{'1': 0.0, '2': 0.8181818181818182, '3': 0.12222222222222222, '4': 0.4, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.1914862914862915,0.11111111111111109,
6,0.0001,0.516255696727471,0.2800000011920929,0.22272727272727272,0.3095238208770752,0.21428571428571427,"[[2, 0, 5, 1, 0, 0, 0], [0, 6, 0, 0, 0, 0, 0], [4, 7, 5, 4, 0, 0, 0], [0, 3, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.3095238208770752,0.21428571428571427,0.15553494124922698,0.15553494124922698,0.0,0,42,"{'1': 0.25, '2': 1.0, '3': 0.25, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.2800000011920929,0.22272727272727272,0.15503468309418275,0.15503468309418275,"{'1': 0.3611111111111111, '2': 0.9090909090909091, '3': 0.15555555555555556, '4': 0.13333333333333333, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.22272727272727272,0.15503468309418275,
7,0.0001,0.525343806059523,0.37714284658432007,0.21435786435786436,0.4285714328289032,0.2119047619047619,"[[0, 0, 8, 0, 0, 0, 0], [0, 5, 1, 0, 0, 0, 0], [1, 3, 13, 3, 0, 0, 0], [0, 2, 2, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0.4285714328289032,0.2119047619047619,0.1601104209799862,0.1601104209799862,0.0,0,42,"{'1': 0.0, '2': 0.8333333333333334, '3': 0.65, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.37714284658432007,0.21435786435786436,0.17154991910155135,0.17154991910155135,"{'1': 0.3055555555555556, '2': 0.7727272727272727, '3': 0.4222222222222222, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.21435786435786436,0.17154991910155135,
8,0.0001,0.529046077450568,0.34857141971588135,0.2080808080808081,0.3571428656578064,0.23214285714285715,"[[7, 0, 1, 0, 0, 0, 0], [1, 3, 2, 0, 0, 0, 0], [15, 0, 5, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0]]",0.3571428656578064,0.23214285714285715,0.1896103896103896,0.1896103896103896,0.0,0,42,"{'1': 0.875, '2': 0.5, '3': 0.25, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.34857141971588135,0.2080808080808081,0.17103640243713852,0.17103640243713852,"{'1': 0.6111111111111112, '2': 0.5454545454545454, '3': 0.3, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.2080808080808081,0.17103640243713852,
9,0.0001,0.5151798293333162,0.4171428680419922,0.2357142857142857,0.4047619104385376,0.19999999999999998,"[[0, 0, 8, 0, 0, 0, 0], [0, 3, 2, 1, 0, 0, 0], [3, 0, 13, 4, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0]]",0.4047619104385376,0.19999999999999998,0.19166666666666668,0.19166666666666668,0.0,0,42,"{'1': 0.0, '2': 0.5, '3': 0.65, '4': 0.25, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.4171428680419922,0.2357142857142857,0.22412519806306966,0.22412519806306966,"{'1': 0.3055555555555556, '2': 0.5, '3': 0.5111111111111111, '4': 0.3333333333333333, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.2357142857142857,0.22412519806306966,
10,0.0001,0.5238315659490499,0.3142857253551483,0.28860028860028863,0.3095238208770752,0.18214285714285713,"[[1, 0, 6, 1, 0, 0, 0], [0, 3, 2, 1, 0, 0, 0], [3, 0, 8, 9, 0, 0, 0], [0, 0, 3, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0]]",0.3095238208770752,0.18214285714285713,0.1816418875242405,0.1816418875242405,0.0,0,42,"{'1': 0.125, '2': 0.5, '3': 0.4, '4': 0.25, '5': 0.0, '6': 0.0, '7': 0.0}","{'1': 8, '2': 6, '3': 20, '4': 4, '5': 1, '6': 2, '7': 1}",0.3142857253551483,0.28860028860028863,0.2790995299706101,0.2790995299706101,"{'1': 0.2777777777777778, '2': 0.4090909090909091, '3': 0.3, '4': 0.5333333333333333, '5': 0.0, '6': 0.0, '7': 0.5}","{'1': 36, '2': 22, '3': 90, '4': 15, '5': 5, '6': 5, '7': 2}",0.28860028860028863,0.2790995299706101,
